key,box_score
fourbrothers2005,17.9777805234
higherlearning1995,18.1814187144
poeticjustice1993,17.9583042238
shaft2000,17.9025045663
2guns2013,18.0443222838
contraband2012,18.0544413772
3002007,19.1873003962
dawnofthedead2004,18.457114958
suckerpunch2011,17.6205955726
watchmen2009,18.9386020905
3000milestograceland2001,16.4617351704
30beats2012,9.72581783303
30daysofnight2007,17.7782332625
hardcandy2006,14.2750828376
30minutesorless2011,17.3302646171
gangstersquad2013,17.3270917803
zombieland2009,18.3600047935
35shotsofrum2009,11.6919564588
whitematerial2010,12.9672156975
3602012,11.3528136676
cityofgod2003,14.5153058082
3backyards2011,12.1131712426
3hearts2015,12.2040666912
farewellmyqueen2012,14.0183974766
3strikes2000,16.1749657808
40daysand40nights2002,17.4676072585
becauseisaidso2007,17.2925800689
heathers1989,14.741631662
hudsonhawk1991,16.8128779456
422013,18.4774488965
453652010,4.99682032981
47ronin2013,16.7472468616
48hrs1982,17.1685488921
another48hrs1990,17.7764409524
bullettothehead2013,16.000453485
redheat1988,17.5131457511
50firstdates2004,18.7478574883
angermanagement2003,18.6530444041
getsmart2008,18.589783129
grudgematch2013,16.4706645412
56up2013,12.977611409
enough2002,17.3950825602
6monthrule2012,8.87404353754
7boxes2014,9.8554437537
7thstreet2003,10.7204843732
800bullets2004,7.47035923244
88minutes2008,16.4252902058
righteouskill2008,17.2693367791
8headsinaduffelbag1997,15.6302399242
8mile2002,19.4513612179
laconfidential1997,17.8205092805
8mm1999,17.8290586105
badcompany2002,16.9456300576
batmanforever1995,19.5098592749
fallingdown1993,17.8814961261
phonebooth2003,17.8046734951
tigerland2000,12.6803393188
twelve2010,12.1512693386
veronicaguerin2003,14.4586786023
92009,17.4919430781
9songs2005,11.6003321601
code462004,12.2223353385
inthisworld2003,12.3511877745
aarakshan2011,14.1740175898
raajneeti2010,15.1295151447
satyagraha2013,13.771647034
abcsofdeath22014,8.42119012537
bigbadwolves2014,9.86622551578
abetterlife2011,14.2168804476
aboutaboy2002,17.7315814388
americanpie1999,18.3512650304
aboutcherry2012,8.9556646276
aboutschmidt2002,17.8278693381
election1999,17.0093895323
nebraska2013,15.6572871375
sideways2004,16.6011707833
abouttime2013,16.6149481783
loveactually2003,17.3901824503
absolutepower1997,18.067335859
americansniper2014,19.849288902
bloodwork2002,16.8688407039
flagsofourfathers2006,17.6456891007
grantorino2008,18.7787452968
hereafter2010,17.5626568212
jedgar2011,17.5296661373
jerseyboys2014,17.432308607
lettersfromiwojima2006,16.0803867229
milliondollarbaby2004,18.1804761601
mysticriver2003,17.8977667488
spacecowboys2000,18.4165062218
truecrime1999,17.0673890934
unforgiven1992,18.5231343228
abuseofweakness2014,11.7519484928
acatinparis2012,13.2003884175
accepted2006,16.9169582927
hottubtimemachine2010,17.7295153031
acoffeeinberlin2014,9.95799613673
acrosstheuniverse2007,16.7420827591
actofvalor2012,17.8050163367
adam2009,14.1400025723
adaptation2002,15.4016872941
beingjohnmalkovich1999,16.242497086
wherethewildthingsare2009,18.9700647513
addicted2014,16.9010691202
beautyshop2005,17.4104282961
honey2003,17.3114939759
admission2013,16.5258840573
americandreamz2006,16.1287345122
beingflynn2012,13.1968949778
ingoodcompany2004,18.2261171359
adore2013,12.9866539792
cocobeforechanel2009,15.5239237332
adultworld2014,10.0426228236
adventureland2009,16.9864783325
paul2011,17.4519739598
superbad2007,18.8891303566
afilmunfinished2010,13.4897908657
afterglow1997,13.7777717045
breakfastofchampions1999,13.1157872782
afterhours1985,15.0098076772
capefear1991,18.3755618443
casino1995,18.0560273761
gangsofnewyork2002,17.6268875992
goodfellas1990,17.912492954
ragingbull1980,15.7613091859
shutterisland2010,19.1194279746
afternoondelight2013,12.8934928844
agentcodybanks2003,17.4775476399
agora2010,13.3087250268
ahijacking2013,13.2919837011
airforceone1997,19.150036158
